Sample_Index,Zone_ID,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Is_Medoid
52,54,0.10521123148596113,0.00041692906175391846,0.0015816600044316295,0.8927901794478533,0
53,55,0.12610195799311452,0.00044039778175892043,0.001932925855315383,0.8715247183698113,0
54,56,0.1915524255472901,0.0006184608070313963,0.0030175128985101105,0.8048116007471684,0
55,57,0.11314008932694786,0.00042746474595483486,0.001796805066378432,0.8846356408607188,0
56,58,0.1164028915136556,0.0004654088255658314,0.0017341629233414801,0.8813975367374371,0
57,59,0.11966705713157225,0.0004931091106899313,0.0018108837691455243,0.8780289499885923,0
58,60,0.12886861350152623,0.0004657933742408798,0.0021391925370549823,0.8685264005871778,0
59,61,0.5662787866564236,0.004471859194726845,0.030199711330458127,0.39904964281839145,0
60,62,0.2941262693811951,0.0009562383481336009,0.005082596954232833,0.6998348953164384,0
61,63,0.2355678164315086,0.0008490585920998826,0.005032325850855171,0.7585507991255364,0
62,64,0.12017032189122237,0.0004900521698455591,0.0018252726429451927,0.8775143532959868,0
63,65,0.29110255795555257,0.0009760447625231785,0.005819681215787983,0.7021017160661362,0
64,66,0.17442254055463444,0.0006010353381555462,0.002534805651674764,0.8224416184555352,0
65,67,0.1073097385411317,0.00043120200249169917,0.0016091966767995537,0.890649862779577,0
66,68,0.06913960220420311,0.6216840768060967,0.27546914100285225,0.03370717998684797,0
67,69,0.14394092292838442,0.0004698870746113344,0.0020401120762619093,0.8535490779207423,0
68,71,0.29792077517936216,0.0009682919046011558,0.004687514728000182,0.6964234181880365,0
69,72,0.3674554080055479,0.0015759450871920572,0.009077019598598196,0.621891627308662,0
70,73,0.10433092521918634,0.0004157382122532066,0.0016092889003045943,0.8936440476682559,0
71,74,0.49545393398920845,0.03274432610592942,0.1380380000071154,0.33376373989774677,0
72,75,0.29440303341733365,0.09385463756862011,0.33874737548628336,0.2729949535277629,0
73,76,0.5763410832126505,0.005023133566484813,0.031922116515453396,0.38671366670541135,0
74,77,0.19309109052238776,0.0006539685269976164,0.00334432302127695,0.8029106179293377,0
75,78,0.13445686958801312,0.00047839931532060764,0.0020396879867060663,0.8630250431099602,0
76,79,0.1364760456849462,0.4955137239661099,0.2719646452747554,0.09604558507418844,0
77,80,0.5923322825504365,0.007522640356822341,0.026845639795785626,0.37329943729695547,0
78,81,0.12326463928850405,0.0004659664133668475,0.002528121666785858,0.8737412726313433,0
79,82,0.5736195715502663,0.011853420989596906,0.040990585561501106,0.3735364218986356,0
80,83,0.21707650473496987,0.0006357432357092949,0.0031985728638015713,0.7790891791655193,0
81,84,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
82,85,0.32031141847155364,0.0011540377886421899,0.007312929148021171,0.6712216145917831,0
83,86,0.1490064609661699,0.0005626367800715198,0.0022032642578529078,0.8482276379959057,0
84,87,0.4726819105891635,0.025178446201964858,0.18476991837360543,0.31736972483526626,0
85,88,0.5496078078027933,0.0035061943169239973,0.022612118986100282,0.4242738788941825,0
86,89,0.4212057104740659,0.0018527218539480562,0.011668807921266879,0.5652727597507191,0
87,90,0.08488979992220531,0.20531769705364775,0.655243571332842,0.054548931691305036,0
88,91,0.3088908205464161,0.0010450473673617035,0.005182353069543612,0.6848817790166787,0
89,92,0.23935625062374524,0.000793213829140436,0.004448107002425894,0.7554024285446884,0
90,93,0.15676329859408175,0.00047772603445161266,0.0022773879904761105,0.8404815873809905,0
91,94,0.10604701197014549,0.0004042102291679989,0.001616133425199022,0.8919326443754876,0
92,95,0.41975831054158264,0.001341351427989022,0.008152599635962222,0.5707477383944661,0
93,96,0.11795283477617022,0.00048606200633266117,0.0017850358586034346,0.8797760673588937,0
94,97,0.3641915000307339,0.0011998289791212207,0.007295057410171087,0.6273136135799738,0
95,98,0.11284918200499518,0.00042362410160426937,0.0018311035331339427,0.8848960903602665,0
96,99,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
97,100,0.16045800823690412,0.27980037813271,0.43954983319006224,0.12019178044032357,0
98,101,0.14415546054412806,0.0005261650363053113,0.0025407723361767485,0.8527776020833899,0
99,102,0.12609613108519935,0.0004108604805598574,0.001737284230402557,0.8717557242038383,0
100,103,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
101,104,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
102,105,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
103,106,0.14794141278394046,0.0004831964973080826,0.00229177771876614,0.8492836129999853,0
104,107,0.07437365875020369,0.4087783691453182,0.4744383979037821,0.04240957420069604,0
105,108,0.10711837369504278,0.00042520962535137145,0.0016310777763772271,0.8908253389032287,0
